city,January,February,March,April,May,June,July,August,September,October,Latitude,Longitude
New York,$243,$245,$297,$377,$410,$372,$317,$320,$430,$430,40.712784,-74.005941
Los Angeles,$197,$196,$203,$219,$219,$227,$252,$245,$220,$219,34.052234,-118.243685
Chicago,$154,$163,$213,$259,$333,$311,$299,$267,$293,$307,41.8369,-87.6847
Dallas,$148,$143,$154,$158,$150,$148,$145,$147,$157,$163,32.7767,-96.797
Philadelphia,$172,$189,$207,$228,$246,$244,$200,$198,$247,$241,39.95,-75.1667
Houston,$149,$157,$157,$161,$173,$146,$149,$143,$150,$154,29.7604,-95.3698
Washington D.C.,$204,$235,$306,$361,$361,$321,$282,$238,$291,$346,38.9047,-77.0164
Miami,$243,$256,$262,$223,$186,$153,$153,$148,$147,$182,25.7753,-80.2089
Atlanta,$164,$163,$163,$176,$172,$172,$198,$169,$185,$184,33.755,-84.39
Boston,$224,$219,$304,$367,$430,$410,$389,$377,$413,$454,42.3601,-71.0589
San Francisco,$225,$233,$262,$280,$304,$311,$324,$341,$348,$350,37.7833,-122.4167
Detroit,$166,$154,$155,$172,$169,$168,$172,$166,$166,$165,42.3314,-83.0458
Orlando,$140,$151,$167,$162,$144,$138,$147,$130,$126,$139,28.4158,-81.2989
San Diego,$148,$165,$176,$186,$187,$193,$237,$207,$180,$180,32.715,-117.1625
Las Vegas,$156,$134,$149,$157,$177,$132,$133,$137,$158,$172,36.1215,-115.1739
Phoenix,$154,$182,$200,$161,$132,$108,$101,$98,$117,$136,33.45,-112.0667
Indianapolis,$118,$120,$124,$158,$148,$134,$139,$144,$131,$134,39.791,-86.148
Salt Lake City,$134,$128,$132,$139,$136,$137,$134,$152,$146,$145,40.75,-111.8833
Denver,$175,$169,$177,$188,$201,$209,$212,$204,$209,$203,39.7392,-104.9903
New Orleans,$189,$238,$247,$253,$245,$199,$195,$172,$177,$234,29.95,-90.0667
St. Louis,$126,$130,$148,$158,$166,$159,$163,$154,$165,$164,38.6272,-90.1978
Seattle,$172,$191,$196,$218,$246,$319,$321,$328,$272,$228,47.6097,-122.3331
Minneapolis,$144,$148,$164,$182,$200,$237,$214,$215,$207,$257,44.9778,-93.265
San Antonio,$118,$127,$148,$143,$138,$134,$171,$138,$127,$127,29.4167,-98.5
San Jose,$170,$180,$186,$207,$196,$205,$206,$211,$211,$209,37.3382,-121.8863